Date,Opponent,Location,Points For,Points Against
1962-10-20,Auburn,Neutral,14,17
1962-10-13,Tennessee,Home,17,0
1962-10-06,Louisiana State,Home,7,10
1962-09-29,Florida,Away,17,0
1962-09-22,Clemson,Home,26,9
1961-12-30,Penn State,Neutral,15,30
1961-12-02,Georgia,Home,22,7
1961-11-18,Alabama,Neutral,0,10
1961-11-11,Tennessee,Away,6,10
1961-11-04,Florida,Home,20,0
1961-10-28,Tulane,Away,35,0
1961-10-21,Auburn,Home,7,6
1961-10-14,Duke,Home,21,0
1961-10-07,Louisiana State,Away,0,10
1961-09-30,Rice,Home,24,0
1961-09-22,Southern California,Away,27,7
1960-11-26,Georgia,Away,6,7
1960-11-12,Alabama,Home,15,16
1960-11-05,Tennessee,Home,14,7
1960-10-29,Duke,Away,0,6
1960-10-22,Tulane,Home,14,6
1960-10-15,Auburn,Neutral,7,9
1960-10-08,Louisiana State,Home,6,2
1960-10-01,Florida,Away,17,18
1960-09-24,Rice,Away,16,13
1960-09-17,Kentucky,Home,23,13
1959-11-28,Georgia,Home,14,21
1959-11-14,Alabama,Neutral,7,9
1959-11-07,Notre Dame,Away,14,10
1959-10-31,Duke,Home,7,10
1959-10-24,Tulane,Away,21,13
1959-10-17,Auburn,Home,6,7
1959-10-10,Tennessee,Away,14,7
1959-10-03,Clemson,Home,16,6
1959-09-26,Southern Methodist,Home,16,12
1959-09-19,Kentucky,Away,14,12
1959-01-02,Arkansas,Neutral,7,14
1958-11-29,Georgia,Away,3,16
1958-11-15,Alabama,Home,8,17
1958-11-08,Clemson,Home,13,0
1958-11-01,Duke,Away,10,8
1958-10-25,Southern Methodist,Away,0,20
1958-10-18,Auburn,Home,7,7
1958-10-11,Tennessee,Home,21,7
1958-10-04,Tulane,Home,14,0
1958-09-26,Florida State,Home,17,3
1958-09-20,Kentucky,Away,0,13
1957-11-30,Georgia,Home,0,7
1957-11-23,Florida,Home,0,0
1957-11-16,Alabama,Neutral,10,7
1957-11-09,Tennessee,Away,6,21
1957-11-02,Duke,Home,13,0
1957-10-26,Tulane,Away,20,13
